"Shoe","Coup","Player card 1","Player card 2","Player card 3","Banker card 1","Banker card 2","Banker card 3","Player total","Banker total","Winner","Pair outcome"
5,341,"10","7",NA,"8","6","A","7","5","Player","No pair"
5,342,"5","5","2","9","7",NA,"2","6","Banker","Player pair"
5,343,"4","7","Q","4","6","A","1","1","Tie","No pair"
5,344,"10","6",NA,"10","4","3","6","7","Banker","No pair"
5,345,"J","K","7","Q","3","3","7","6","Player","No pair"
5,346,"5","A",NA,"K","J","7","6","7","Banker","No pair"
5,347,"A","2","2","3","8","9","5","0","Player","No pair"
5,348,"K","K",NA,"K","9",NA,"0","9","Banker","Player pair"
5,349,"9","2","6","9","7","8","7","4","Player","No pair"
5,350,"2","K","3","9","4","J","5","3","Player","No pair"
5,351,"5","Q","7","5","K","8","2","3","Banker","No pair"
5,352,"10","4","3","8","9",NA,"7","7","Tie","No pair"
5,353,"7","10",NA,"10","10","8","7","8","Banker","Banker pair"
5,354,"K","10","A","3","9","10","1","2","Banker","No pair"
5,355,"4","Q","7","J","K","10","1","0","Player","No pair"
5,356,"J","9",NA,"7","A",NA,"9","8","Player","No pair"
5,357,"8","5",NA,"6","3",NA,"3","9","Banker","No pair"
5,358,"6","2",NA,"2","K",NA,"8","2","Player","No pair"
5,359,"J","J","5","2","Q","K","5","2","Player","Player pair"
5,360,"9","K",NA,"10","8",NA,"9","8","Player","No pair"
5,361,"Q","8",NA,"3","6",NA,"8","9","Banker","No pair"
5,362,"5","4",NA,"4","8",NA,"9","2","Player","No pair"
5,363,"9","J",NA,"J","5",NA,"9","5","Player","No pair"
5,364,"7","8","7","Q","Q","6","2","6","Banker","Banker pair"
5,365,"K","Q","J","2","Q","10","0","2","Banker","No pair"
5,366,"9","7",NA,"A","A","2","6","4","Player","Banker pair"
5,367,"10","3",NA,"5","4",NA,"3","9","Banker","No pair"
5,368,"J","7",NA,"4","K","J","7","4","Player","No pair"
5,369,"2","6",NA,"4","Q",NA,"8","4","Player","No pair"
5,370,"J","A","2","A","9","6","3","6","Banker","No pair"
